t_yr,body,a_au,e
340.0,TRAPPIST-1 e,0.029129061678859945,0.015669064557467915
340.0,TRAPPIST-1 f,0.038580147225597834,0.011331371045045984
340.0,TRAPPIST-1 g,0.046925476062282465,0.01706810804714263
340.0,TRAPPIST-1 h,0.06205682963686461,0.019224161988449565
340.0,TRAPPIST-1 e moon (safe),0.00013344776766986653,0.0669585137161189
340.0,TRAPPIST-1 g moon (risky),-1.2228769124178029e-06,48112.27356207746
360.0,TRAPPIST-1 b,0.011538090618091464,0.009866729963070066
360.0,TRAPPIST-1 c,0.015799116053218813,0.00874057510651083
360.0,TRAPPIST-1 d,0.022229195362274596,0.037764388631063614
360.0,TRAPPIST-1 e,0.029103276210149343,0.023007517892079162
360.0,TRAPPIST-1 f,0.03858636392419002,0.006501271310280787
360.0,TRAPPIST-1 g,0.04693001590638467,0.010186475707112255
360.0,TRAPPIST-1 h,0.06203765522691843,0.014566995078443197
360.0,TRAPPIST-1 e moon (safe),0.00013424288010090382,0.03790569371741345
360.0,TRAPPIST-1 g moon (risky),-1.7188618176784379e-06,26993.476667870356
380.0,TRAPPIST-1 b,0.011537161797788926,0.012582932321247249
380.0,TRAPPIST-1 c,0.015798463575155047,0.008883848530616629
380.0,TRAPPIST-1 d,0.022272350439652745,0.042491236574956875
380.0,TRAPPIST-1 e,0.029132845437276747,0.012343220924402803
380.0,TRAPPIST-1 f,0.038618649919383456,0.013689826365286331
380.0,TRAPPIST-1 g,0.047006923227082845,0.014725633303910452
380.0,TRAPPIST-1 h,0.062060911459688,0.01547483579839267
380.0,TRAPPIST-1 e moon (safe),0.00013365771290921926,0.07544277403686626
380.0,TRAPPIST-1 g moon (risky),-7.284839268065047e-07,117803.43657218496
400.0,TRAPPIST-1 b,0.011537033318839398,0.011160487967816731
400.0,TRAPPIST-1 c,0.015802579613296744,0.013567218793306022
400.0,TRAPPIST-1 d,0.022265884100299116,0.005843011280228298
400.0,TRAPPIST-1 e,0.029086881068988886,0.03504316908791361
400.0,TRAPPIST-1 f,0.03855691803739653,0.020145869139554653
400.0,TRAPPIST-1 g,0.046928627520234745,0.014638475849960282
400.0,TRAPPIST-1 h,0.06210854016622175,0.015753115976458534
400.0,TRAPPIST-1 e moon (safe),0.00013522633427589885,0.06659340372457484
400.0,TRAPPIST-1 g moon (risky),-5.817087230931382e-07,167403.90173962608
420.0,TRAPPIST-1 b,0.011535858287373097,0.01189134644317257
420.0,TRAPPIST-1 c,0.015808096965006155,0.004788777658325056
420.0,TRAPPIST-1 d,0.022246305887624062,0.026714384919585353
420.0,TRAPPIST-1 e,0.029079189203761492,0.02083808220755625
420.0,TRAPPIST-1 f,0.03860270869162402,0.008774976223131187
420.0,TRAPPIST-1 g,0.04711257503430067,0.0108799994088564
420.0,TRAPPIST-1 h,0.06206648909614781,0.020766460881264326
420.0,TRAPPIST-1 e moon (safe),0.00013537626942391833,0.0647121740028798
420.0,TRAPPIST-1 g moon (risky),-4.084087108066242e-06,8574.355002904327
440.0,TRAPPIST-1 b,0.01153854147014098,0.00797252417515474
440.0,TRAPPIST-1 c,0.015806632345909365,0.01095191486199484
440.0,TRAPPIST-1 d,0.02225993269649961,0.018515458343676093
440.0,TRAPPIST-1 e,0.029266723899482688,0.0072085100592565775
440.0,TRAPPIST-1 f,0.03850961959632816,0.018522536752957938
440.0,TRAPPIST-1 g,0.04714710091314759,0.0088023911425359
440.0,TRAPPIST-1 h,0.0621102109189429,0.02386225876555128
440.0,TRAPPIST-1 e moon (safe),0.00013517303349532513,0.06592078986937716
440.0,TRAPPIST-1 g moon (risky),-8.265203036853371e-07,97284.93592707577
460.0,TRAPPIST-1 b,0.011535675097672955,0.01068927996163002
460.0,TRAPPIST-1 c,0.01580429260152822,0.006758291837397852
460.0,TRAPPIST-1 d,0.022263937847663392,0.019051319557878806
460.0,TRAPPIST-1 e,0.029149841341422716,0.009269420552600967
460.0,TRAPPIST-1 f,0.03875676338062659,0.011650576842719699
460.0,TRAPPIST-1 g,0.047052199755713925,0.007646908714423526
460.0,TRAPPIST-1 h,0.06221759089176246,0.027992883480412564
460.0,TRAPPIST-1 e moon (safe),0.00013457826024452498,0.034864009219643416
460.0,TRAPPIST-1 g moon (risky),-4.870684727548542e-07,163564.2211639125
480.0,TRAPPIST-1 b,0.011538764117696441,0.007756275604337683
480.0,TRAPPIST-1 c,0.015811983724004247,0.009078530367517936
480.0,TRAPPIST-1 d,0.022226432284500237,0.01947980528569484
480.0,TRAPPIST-1 e,0.029289509971116963,0.012057400818900476
480.0,TRAPPIST-1 f,0.038875732405722244,0.029214051282397464
480.0,TRAPPIST-1 g,0.047192362659463596,0.02338601155664469
480.0,TRAPPIST-1 h,0.06216218740056615,0.01565796772530309
480.0,TRAPPIST-1 e moon (safe),0.00013424819390556148,0.06939419505639598
480.0,TRAPPIST-1 g moon (risky),-3.0515966426789922e-06,14272.792946820595
500.0,TRAPPIST-1 b,0.011535718723833698,0.01335903192677165
500.0,TRAPPIST-1 c,0.015804315805598136,0.008799325486571705
500.0,TRAPPIST-1 d,0.022254573498284858,0.018801944677558496
500.0,TRAPPIST-1 e,0.029173489549581013,0.01883397383954394
500.0,TRAPPIST-1 f,0.03923613572828001,0.027639174632614737
500.0,TRAPPIST-1 g,0.047091646154982895,0.018653836945198735
500.0,TRAPPIST-1 h,0.062181724670651466,0.02537021686827255
500.0,TRAPPIST-1 e moon (safe),0.00013398929890712303,0.04594151888482881
500.0,TRAPPIST-1 g moon (risky),-5.734458363474199e-07,126644.39439513185
520.0,TRAPPIST-1 b,0.011526122896342974,0.014943705366846374
520.0,TRAPPIST-1 c,0.01581317372255567,0.011096220773858868
520.0,TRAPPIST-1 d,0.022254792717536855,0.024432003497343445
520.0,TRAPPIST-1 e,0.029271788758445466,0.009961469052213387
520.0,TRAPPIST-1 f,0.03925654063776533,0.027007999531710472
520.0,TRAPPIST-1 g,0.04710464463837987,0.020961623495759685
520.0,TRAPPIST-1 h,0.06210278763048219,0.018059816789491024
520.0,TRAPPIST-1 e moon (safe),0.0001329248184660957,0.0235462796216106
520.0,TRAPPIST-1 g moon (risky),-7.192738958436537e-07,116248.54662307528
540.0,TRAPPIST-1 b,0.011521844544367216,0.012185466323799292
540.0,TRAPPIST-1 c,0.015813967821742145,0.012114871351832217
540.0,TRAPPIST-1 d,0.022258741982826694,0.03298734763763896
540.0,TRAPPIST-1 e,0.029184734046622328,0.012839599291826013
